Game,CPU,GPU,RAM,File Size
Evil West,Intel Core i5-2500K  / FX-6300,NVIDIA GeForce GTX 750 Ti  / Radeon RX 460,8 GB,40 GB
Need For Speed: Hot Pursuit,Intel Core 2 Duo T7250,NVIDIA GeForce 6200,1 GB,8 GB
Myrmidon,Intel Core i7-960,NVIDIA GeForce RTX 2080,8 GB,4 GB
Alternativa,Intel Pentium 4 2.00GHz,NVIDIA GeForce 7200 GS,2 GB,2 GB
Saints Row,Intel Core i3-3240  / Ryzen 3 1200,NVIDIA GeForce GTX 970,8 GB,50 GB
Killing Floor 3,Intel Core i7-4790  / Ryzen 5 2600,NVIDIA GeForce GTX 1060  / Radeon RX 480,16 GB,20 GB
METAL GEAR SOLID Δ: SNAKE EATER,Intel Core i7-6700K,NVIDIA GeForce GTX 1070,16 GB,40 GB
Tempest Rising,Intel Core i5-7400  / Ryzen 5 1600,NVIDIA GeForce GTX 1060  / Radeon RX 580,8 GB,30 GB
Gothic 1 Remake,Intel Core i5-12400T,Unknown,8 GB,30 GB
Heroes of Might & Magic: Olden Era,Intel Core i5-12400T,NVIDIA GeForce 510,4 GB,Unknown
Safe,Intel Core i5-12400T,ATI FireGL V7350,4 GB,150 MB
Devil May Cry HD Collection,Intel Core 2 Duo E8400,AMD Radeon R7 260X,4 GB,12 GB
Fields of Mistria,Intel Core 2 Duo E6400,Unknown,6 GB,2 GB
Age of Empires III: Definitive Edition,Intel Core i3-2105,AMD Radeon HD 5570,8 GB,42 GB
Aim Lab,Intel Core 2 Duo E6600,NVIDIA GeForce GTX 560,4 GB,12 GB
Half-Life 2,Intel Pentium 4 2.00GHz,NVIDIA GeForce 6100,512 MB,6.35 GB
Foxhole,Intel Core 2 Duo Q6867,AMD Radeon HD 5450,4 GB,15 GB
Ravenswatch,Intel Core i5-4670K,Unknown,8 GB,3 GB
LOCKDOWN Protocol,Intel Core i3-4150,NVIDIA GeForce GTX 1050,2 GB,2 GB
Yakuza: Like a Dragon,Intel Core i5-3470,AMD Radeon HD 7870,8 GB,40 GB
Human: Fall Flat,Intel Core 2 Duo E6750,ATI Radeon HD 5770,1 GB,500 MB
Age of History 3,Intel Pentium 4 4.00GHz,Unknown,3 GB,1 GB
Mass Effect™: Andromeda Deluxe Edition,Intel Core i5-3570,NVIDIA GeForce GTX 660,8 GB,55 GB
Headliners,Intel Core i5-4440,Unknown,8 GB,9 GB
Wolfenstein II: The New Colossus,Intel Core i7-3770,Unknown,8 GB,55 GB
Software Inc.,Intel Core i5-1300F,NVIDIA GeForce 7200 GS,2 GB,1 GB
NBA 2K22,Intel Core i3-2100,AMD Radeon HD 7770,4 GB,110 GB
Gas Station Simulator,Intel Core i3-540,NVIDIA GeForce GTX 960,8 GB,10 GB
House Party,Intel Pentium G4500,AMD Radeon HD 5450,8 GB,8 GB
Assassin's Creed Rogue,Intel Core 2 Quad Q6600,AMD Radeon HD 5670,2 GB,12 GB
Five Nights at Freddy's: Security Breach,Intel Core i5-6600K,NVIDIA GeForce GTX 1050 Ti,8 GB,80 GB
Life is Strange 2,Intel Core i3-2100,Unknown,4 GB,40 GB
Wanderstop,Intel Core i5-750,Unknown,8 GB,15 GB
Grand Theft Auto: Vice City – The Definitive Edition,Intel Core i5-6600K,AMD Radeon R9 280,8 GB,10 GB
A Plague Tale: Innocence,Intel Core i3-2120,AMD Radeon HD 7870,8 GB,50 GB
